"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: charsetName","Param: targetBufferSize","Param: transferSize"
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,21.355632,0.935792,"MB/sec",ISO-8859-1,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate.norm","thrpt",1,5,23569.107845,5.620320,"B/op",ISO-8859-1,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space","thrpt",1,5,22.548179,118.890042,"MB/sec",ISO-8859-1,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Eden_Space.norm","thrpt",1,5,24858.464468,131080.671390,"B/op",ISO-8859-1,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space","thrpt",1,5,0.000173,0.001494,"MB/sec",ISO-8859-1,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.churn.G1_Survivor_Space.norm","thrpt",1,5,0.189505,1.631695,"B/op",ISO-8859-1,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.count","thrpt",1,5,2.000000,NaN,"counts",ISO-8859-1,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.time","thrpt",1,5,3.000000,NaN,"ms",ISO-8859-1,1048576,128
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer","thrpt",1,5,1.469420,0.013270,"ops/ms",ISO-8859-1,1048576,1024
"com.github.marschall.readerbenchmarks.InputStreamReaderBenchmarks.readDirectBuffer:·gc.alloc.rate","thrpt",1,5,31.451989,0.283771,"MB/sec",ISO-8859-1,1048576,1024
